url,ip_address,iframes,age,ssl,iframes,blacklisted_words,nameserver,blacklisted_words_count,status_code,length
googleusercontent.com,,0,5248,False,0,,"[ns4.google.com, ns1.google.com, ns3.google.com, ns2.google.com]",0,,21
microsoftonline.com,,0,7570,False,0,,"[ns3-34.azure-dns.org, ns2-34.azure-dns.net, ns1-34.azure-dns.com, nse24.o365filtering.com, nse12.o365filtering.com, nse13.o365filtering.com, nse21.o365filtering.com, ns4-34.azure-dns.info]",0,,19
apple-dns.net,,0,3230,False,0,,"[b.ns.apple.com, a.ns.apple.com, c.ns.apple.com, d.ns.apple.com]",0,,13
trafficmanager.net,,0,6336,False,0,,"[tm1.dns-tm.com, tm2.dns-tm.com, tm1.edgedns-tm.info, tm2.edgedns-tm.info]",0,,18
nflxso.net,,0,2562,False,0,,"[e.ns.nflxso.net, f.ns.nflxso.net]",0,,10
www.amazon.com,108.158.65.52,0,10378,False,0,,"[ns-1144.awsdns-15.org, ns-130.awsdns-16.com, ns-2021.awsdns-60.co.uk, ns-824.awsdns-39.net]",0,503,14
doubleclick.net,142.250.183.142,0,9937,True,0,,"[ns3.google.com, ns1.google.com, ns2.google.com, ns4.google.com]",0,200,15
wordpress.org,198.143.164.252,0,7309,True,0,,"[ns2.wordpress.org, ns1.wordpress.org, ns3.wordpress.org, ns4.wordpress.org]",0,200,13
www.coinbase.com,104.18.5.43,0,4290,False,0,,,0,403,16
cloudflare.com,104.16.132.229,0,5155,True,0,,"[ns3.cloudflare.com, ns4.cloudflare.com, ns5.cloudflare.com, ns6.cloudflare.com, ns7.cloudflare.com]",0,200,14
cloudapp.net,,0,5350,False,0,,,0,,12
facebook.com,157.240.16.35,0,9499,True,0,,"[c.ns.facebook.com, b.ns.facebook.com, a.ns.facebook.com, d.ns.facebook.com]",0,200,12
github.com,20.207.73.82,0,5652,True,0,,,0,200,10
twitter.com,104.244.42.193,0,8471,True,0,,"[a.r06.twtrdns.net, a.u06.twtrdns.net, b.r06.twtrdns.net, b.u06.twtrdns.net, c.r06.twtrdns.net, c.u06.twtrdns.net, d.r06.twtrdns.net, d.u06.twtrdns.net]",0,200,11
www.youtube.com,142.250.192.46,0,6619,True,0,,,0,200,15
wikipedia.org,103.102.166.224,0,8113,True,0,,"[ns0.wikimedia.org, ns1.wikimedia.org, ns2.wikimedia.org]",0,200,13
www.monday.com,13.35.231.32,0,10118,True,0,,,0,200,14
edgekey.net,,0,7849,False,0,,,0,,11
instagram.com,31.13.79.174,0,6875,True,0,,"[b.ns.instagram.com, d.ns.instagram.com, a.ns.instagram.com, c.ns.instagram.com]",0,200,13
google.com,142.250.183.174,0,9329,True,0,,"[ns2.google.com, ns4.google.com, ns1.google.com, ns3.google.com]",0,200,10
live.com,204.79.197.212,0,10321,True,0,,,0,200,8
www.spotify.com,35.186.224.25,0,6187,True,0,,,0,200,15
vimeo.com,162.159.128.61,0,6681,True,0,,,0,200,9
googlevideo.com,142.250.183.68,0,7251,True,0,,,0,200,15
fastly.net,151.101.1.6,0,4365,True,0,,,0,200,10
t.co,104.244.42.69,0,4723,True,0,,,0,200,4
bing.com,204.79.197.200,0,9924,True,0,,,0,,8
zoom.us,170.114.52.2,0,7647,True,0,,"[ns-387.awsdns-48.com, ns-888.awsdns-47.net, ns-1137.awsdns-14.org, ns-1772.awsdns-29.co.uk]",0,200,7
office.com,13.107.6.156,0,8747,False,0,,"[nse13.o365filtering.com, nse21.o365filtering.com, nse24.o365filtering.com, ns1-32.azure-dns.com, ns2-32.azure-dns.net, ns3-32.azure-dns.org, ns4-32.azure-dns.info, nse12.o365filtering.com]",0,200,10
amazon.com,52.94.236.248,0,10378,False,0,,,0,503,10
