url,ip_address,iframes,age,ssl,iframes,blacklisted_words,nameserver,blacklisted_words_count,status_code,length
trafficmanager.net,,,,,,,,,,18
facebook.com,,,,,,,,,,12
apple-dns.net,,,,,,,,,,13
microsoftonline.com,,,,,,,,,,19
google.com,,,,,,,,,,10
edgekey.net,,,,,,,,,,11
twitter.com,,,,,,,,,,11
office.com,,,,,,,,,,10
cloudapp.net,,,,,,,,,,12
doubleclick.net,,,,,,,,,,15
www.amazon.com,,,,,,,,,,14
cloudflare.com,,,,,,,,,,14
googleusercontent.com,,,,,,,,,,21
amazon.com,,,,,,,,,,10
live.com,,,,,,,,,,8
wikipedia.org,,,,,,,,,,13
bing.com,,,,,,,,,,8
www.coinbase.com,,,,,,,,,,16
www.youtube.com,,,,,,,,,,15
fastly.net,,,,,,,,,,10
googlevideo.com,,,,,,,,,,15
nflxso.net,,,,,,,,,,10
vimeo.com,,,,,,,,,,9
wordpress.org,,,,,,,,,,13
instagram.com,,,,,,,,,,13
www.spotify.com,,,,,,,,,,15
github.com,,,,,,,,,,10
www.monday.com,,,,,,,,,,14
zoom.us,,,,,,,,,,7
t.co,,,,,,,,,,4
